total count,percent of total,activties count,percent of activities,tokens,n_gram
192,0.000421,192,0.003736,الفرنسيه,1grams
192,0.000421,192,0.003736,الإنستقرام,1grams
192,0.000421,192,0.003736,ثانيه,1grams
192,0.000421,192,0.003736,b1hrpedqhk,1grams
192,0.000421,192,0.003736,لجميع,1grams
191,0.000418,191,0.003716,being,1grams
191,0.000418,191,0.003716,@naaadeer6,1grams
189,0.000414,189,0.003677,ニューアルバム,1grams
189,0.000414,189,0.003677,y30vegsb2j,1grams
188,0.000412,187,0.003638,beer,1grams
188,0.000412,188,0.003658,ديور,1grams
187,0.000410,187,0.003638,drink,1grams
185,0.000405,185,0.003600,@AndyRichter,1grams
185,0.000405,126,0.002452,jessica,1grams
185,0.000405,181,0.003522,clean,1grams
184,0.000403,173,0.003366,passion,1grams
184,0.000403,28,0.000545,cambia,1grams
184,0.000403,179,0.003483,really,1grams
182,0.000399,182,0.003541,#win,1grams
182,0.000399,182,0.003541,alexandros,1grams
182,0.000399,182,0.003541,craft,1grams
181,0.000397,181,0.003522,opened,1grams
181,0.000397,181,0.003522,zmtwtzmmnk,1grams
181,0.000397,179,0.003483,brand,1grams
180,0.000394,179,0.003483,want,1grams
180,0.000394,178,0.003463,make,1grams
180,0.000394,180,0.003502,tips,1grams
177,0.000388,176,0.003424,gift,1grams
177,0.000388,177,0.003444,@TOWER_Shibuya,1grams
174,0.000381,116,0.002257,اللهم,1grams
174,0.000381,174,0.003385,smella,1grams
173,0.000379,173,0.003366,size,1grams
173,0.000379,173,0.003366,friday,1grams
173,0.000379,173,0.003366,persona,1grams
172,0.000377,161,0.003133,calvin,1grams
171,0.000375,171,0.003327,anyw,1grams
171,0.000375,160,0.003113,klein,1grams
170,0.000372,170,0.003308,beautiful,1grams
169,0.000370,169,0.003288,kn2wiswlsv,1grams
169,0.000370,168,0.003269,japan,1grams
168,0.000368,161,0.003133,shower,1grams
168,0.000368,168,0.003269,sale,1grams
167,0.000366,167,0.003249,#Fragrance,1grams
166,0.000364,166,0.003230,think,1grams
165,0.000361,165,0.003210,clothes,1grams
164,0.000359,161,0.003133,hand,1grams
164,0.000359,164,0.003191,cabelo,1grams
163,0.000357,163,0.003171,قوتشي,1grams
163,0.000357,163,0.003171,@Black__Perfume,1grams
163,0.000357,163,0.003171,4月5日,1grams
162,0.000355,162,0.003152,@sol_info,1grams
162,0.000355,161,0.003133,follow,1grams
161,0.000353,158,0.003074,delicious,1grams
161,0.000353,161,0.003133,#sol,1grams
161,0.000353,161,0.003133,お楽しみに,1grams
161,0.000353,161,0.003133,ゲスト情報,1grams
160,0.000351,160,0.003113,perfume研究員が登場,1grams
160,0.000351,160,0.003113,のいわゆるフラゲ日,1grams
160,0.000351,160,0.003113,@YouTube,1grams
160,0.000351,160,0.003113,perfume研究員のニューアルバム,1grams
160,0.000351,160,0.003113,このアルバムについての授業を行っていくぞ,1grams
160,0.000351,160,0.003113,この日は,1grams
160,0.000351,160,0.003113,queda,1grams
160,0.000351,160,0.003113,の生放送教室には,1grams
160,0.000351,145,0.002821,rose,1grams
158,0.000346,158,0.003074,strawberry,1grams
156,0.000342,156,0.003035,perfume特番,1grams
156,0.000342,156,0.003035,rolando,1grams
156,0.000342,156,0.003035,trade,1grams
155,0.000340,155,0.003016,suntana,1grams
155,0.000340,145,0.002821,hair,1grams
155,0.000340,155,0.003016,#2993,1grams
155,0.000340,155,0.003016,スペシャ4月のv,1grams
155,0.000340,155,0.003016,アーティストはperfume,1grams
155,0.000340,155,0.003016,rapid,1grams
154,0.000337,154,0.002996,5月にも特番オンエアが決定し,1grams
154,0.000337,154,0.002996,を2ヶ月連続で特集,1grams
154,0.000337,154,0.002996,をリリースする,1grams
153,0.000335,146,0.002841,more,1grams
153,0.000335,153,0.002977,@spaceshowertv,1grams
153,0.000335,153,0.002977,@WhatTheFFacts,1grams
153,0.000335,153,0.002977,cheese,1grams
152,0.000333,151,0.002938,chanel,1grams
152,0.000333,149,0.002899,casa,1grams
152,0.000333,148,0.002880,april,1grams
152,0.000333,151,0.002938,arma,1grams
151,0.000331,150,0.002919,quase,1grams
151,0.000331,151,0.002938,pibe,1grams
151,0.000331,151,0.002938,combat,1grams
150,0.000329,145,0.002821,home,1grams
150,0.000329,149,0.002899,nuevo,1grams
149,0.000326,148,0.002880,world,1grams
149,0.000326,149,0.002899,@Gurmeetramrahim,1grams
149,0.000326,149,0.002899,onion,1grams
149,0.000326,149,0.002899,#Follow,1grams
149,0.000326,149,0.002899,collection,1grams
148,0.000324,146,0.002841,wearing,1grams
148,0.000324,123,0.002393,burberry,1grams
147,0.000322,147,0.002860,coconut,1grams
147,0.000322,144,0.002802,came,1grams
147,0.000322,142,0.002763,passa,1grams
145,0.000318,145,0.002821,التي,1grams
145,0.000318,145,0.002821,بلاك,1grams
144,0.000315,144,0.002802,パフューム,1grams
144,0.000315,144,0.002802,cómo,1grams
143,0.000313,130,0.002529,without,1grams
143,0.000313,142,0.002763,pick,1grams
143,0.000313,143,0.002782,rock,1grams
143,0.000313,85,0.001654,outro,1grams
143,0.000313,142,0.002763,perfecto,1grams
142,0.000311,142,0.002763,tayto,1grams
142,0.000311,142,0.002763,بالأنوثة,1grams
142,0.000311,142,0.002763,@vicky_bawa17,1grams
142,0.000311,142,0.002763,ciúme,1grams
142,0.000311,142,0.002763,الرجالي,1grams
141,0.000309,140,0.002724,offers,1grams
141,0.000309,141,0.002743,#パフュクラさんと繋がりたい,1grams
140,0.000307,112,0.002179,news,1grams
140,0.000307,140,0.002724,p2c84legjs,1grams
140,0.000307,140,0.002724,players,1grams
139,0.000304,139,0.002704,meet,1grams
139,0.000304,130,0.002529,black,1grams
139,0.000304,139,0.002704,check,1grams
138,0.000302,138,0.002685,perfumeが表紙の,1grams
138,0.000302,138,0.002685,بامبو,1grams
138,0.000302,138,0.002685,شديدة,1grams
138,0.000302,138,0.002685,والجاذبية,1grams
138,0.000302,138,0.002685,rockin,1grams
138,0.000302,138,0.002685,الحسية,1grams
138,0.000302,138,0.002685,التركيز,1grams
138,0.000302,138,0.002685,تتميز,1grams
138,0.000302,138,0.002685,المرأة,1grams
136,0.000298,136,0.002646,baron,1grams
