number of times mentioned, user ids, username(s)
1, 172487174,ronin4hire
1, 3914047581,italians4trump
1, 185425059,tteegar
1, 26942565,heavier
1, 352963308,christianmale87
1, 189001394,alfonsodosal
1, 2908170952,diamondandsilk
1, 17418183,klgrube
1, 711823841274830849,realdenaldtrump
1, 4042517709,rosewnky
1, 26186655,jesselehrich
1, 136166272,whatzzhername
1, 342887079,rushlimbaugh
1, 20455625,esquire
1, 46213956,jamilsmith
1, 73774016,eagle_vision
1, 84653850,brendannyhan
1, 4068517156,mediumpubliczne
1, 414050517,blogsostenible
1, 358410527,ireneberns
1, 1029047922,sweetiewalker
1, 51241574,ap
1, 56561449,jessebwatters
1, 20380049,meganrowling
1, 986781648,jeffsessions
1, 447226821,adel__almalki
1, 755310918,wnkytv
1, 88550047,rescuetracker81
1, 1167449568,lex_looper
1, 4081106480,realdailywire
1, 702746986232082432,shoneep
1, 270412323,marksteynonline
1, 3185626787,phyllis28916209
1, 38271276,mtaibbi
1, 4854449571,fortennessee
1, 3390247768,breitbarttech
1, 124898913,truthbuster
1, 715286047328968704,american20161
1, 2884771,newsweek
1, 108101526,briannaurie
1, 2502895924,jewhaditm
1, 14263780,deimachy
1, 44209472,afphq
1, 154678128,markbrouwer2010
1, 14173315,nbcnews
1, 3408262787,callawaybot
1, 209609597,peebsy0
1, 14717197,tpm
1, 18087197,wilsonwpa
